Name,Location,Salary,Description,desc_len,max_salary,min_salary,avg_salary
Kovai.co,Coimbatore,3 - 8 ,"Supports innovative analytical thinking & solutions that results into improved business performance. Experience with data wrangling, web scraping, data schema……",160,3,8,5.5
Pype,Bengaluru,4 - 8 ,"Using your deep understanding of modern web architectures and Cloud platforms, programming expertise and operational experience, you will help building……",153,4,8,6.0
HRS,Chandigarh,5 ,Proven hands-on experience in data engineering or data science. Translate requirements into technical- and analytical designs and ensure implementation and……,157,5,5,5.0
Valeo Health,Bengaluru,5 - 10 ,"Oversees all activities related to data cleansing, data quality and data consolidation using industry standards and processes.…",127,5,10,7.5
Indeed,Remote,54 - 80 ,"Are comfortable working cross-functionally to drive impact across the Software Development Lifecycle (SDLC), including working with product managers to clarify……",161,54,80,67.0
YouTube,Bengaluru,7 - 10 ,"The team is responsible for shaping go-to-market priorities to accelerate growth and resource the business accordingly, enhancing skills and capabilities to……",158,7,10,8.5
S&P Global,Gurgaon,5 - 8 ,"Our subject matter expertise, combined with our data-driven interactive analytical platform, allows our customers to get scalable information to assist with any……",162,5,8,6.5
McKinsey & Company,Gurgaon,4 - 8 ,"In this role, you will be given high levels of responsibility from the start, liaising with our clients to gather data, conduct research and perform……",150,4,8,6.0
"Interactive Education Concepts, Inc",Remote,80 - 1 ,"The ideal candidate will be an expert in utilizing Power BI, possessing extensive hands-on experience implementing and leveraging this tool to drive data-driven……",162,80,1,40.5
Classic Informatics Private Limited,Gurgaon,3 - 6 ,"Interested in ad-tech industry, data, metrics, analysis, and trends with a customer-centric mindset. Pulling data from large datasets.…",135,3,6,4.5
TechieShubhdeep IT Solutions Pvt. Ltd,Gwalior,5 - 15 ,"Work closely with data engineers and analysts to ensure data integrity and availability. Stay abreast of the latest developments in data science, machine……",155,5,15,10.0
Empower,Bengaluru,2 - 4 ,"The ideal candidate will understand the business problem, collect and study relevant data and able to produce meaningful and actionable insights that helps to……",160,2,4,3.0
Verizon,Chennai,9 ,"As a Manager – Data Science for the Business Enablement group within the AI&D organization, you will be responsible for leading and managing Business engagement……",162,9,9,9.0
Universal Electronics Inc.,Bengaluru,4 - 7 ,"Familiar with statistical tests, distributions, maximum likelihood estimators, Hypothesis Testing, probability etc. Including but not limited to ANN and CNN.…",158,4,7,5.5
Transaction Network Services,Noida,5 - 10 ,"2 - 5+ years of industry experience in a data science role. As a Data Scientist, you will play a crucial role in analyzing complex datasets, building……",151,5,10,7.5
YMTS India,Tirupati,2 - 3 ,"Deep learning, and data science, and proactively contribute innovative ideas to improve. Data Preprocessing: Perform data preprocessing and feature engineering……",161,2,3,2.5
DEWII,Gurgaon,3 - 7 ,"Proficiency in working with Python, R, SQL. Must have some experience working with Scikit Learn, TensorFlow, Keras, OpenCV and NLTK libraries in Python.…",153,3,7,5.0
Maruti Suzuki India Ltd,Gurgaon,4 ,Must have minimum of 4 years of industry experience in developing data science models and /or accident. Mentoring juniors in data science.…,139,4,4,4.0
Paytail,Gurgaon,3 - 7 ,"Establish best of the standards and practices for you and the team to deliver effective models with clean, secure, scalable and maintainable code.…",147,3,7,5.0
JPMorgan Chase & Co,Bengaluru,2 - 7 ,"Bachelor's degree in computer science, data science, mathematics, or a related field. Transforming data science prototypes and applying appropriate ML……",152,2,7,4.5
GUJARAT FLUOROCHEMICALS,Noida,5 - 8 ,Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.…,134,5,8,6.5
Finquest,Bengaluru,5 - 10 ,Make a significant impact on further improving the quality of our data and service. You will have the opportunity to work in a fast-growing team and……,150,5,10,7.5
RARR Technologies Pvt Ltd,Remote,30 ,"Collaboration: Collaborate with data engineers, data scientists, and business analysts to understand data requirements and ensure data quality meets business……",159,30,30,30.0
Deal4loans,Noida,3 - 7 ,Integrates advanced analytics into end-to-end business intelligence solutions and operational business processes. Should be an expert in Credit scoring models.…,160,3,7,5.0
RPA Infotech,Gurgaon,4 - 7 ,"Experience in data science models for credit/risk/fraud. Bachelor or master's degree in Engineering, Computer Science, Operational Research, Statistics,……",154,4,7,5.5
Bosch Group,Bengaluru,9 - 10 ,Create and deliver proof of concepts using state-of-the-art algorithms to demonstrate the value of our AI and ML solutions.…,124,9,10,9.5
XL Catlin,Gurgaon,7 - 9 ,"AXA XL recognizes digital, data, and information assets are critical for the business, both in terms of managing risk and enabling new business opportunities.…",159,7,9,8.0
Thoucentric,Bengaluru,8 - 9 ,"Building capabilities that address a market need, basis our ongoing research efforts. >3 years’ experience in data science/Analytics roles.…",140,8,9,8.5
