Name,Location,Salary,Description
GPC- Gujrat Pesticides Company,Safidon,2 - 4 ,Collaborate with cross-functional teams to understand business requirements and provide data-driven solutions. Familiarity with data governance and compliance.…
PepsiCo,Hyderābād,2 - 5 ,"Statistics – Good applied statistical skills, including knowledge of statistical tests, distributions, regression, maximum likelihood estimators.…"
T-Systems ICT India Pvt. Ltd.,Pune,5 - 10 ,Minimum 3 to 6 Years of in Big Data & Data related technology experience. Experience with integration of data from multiple data sources such as RDBMS (SQL……
TutorBin,Remote,15 - 20 ,Eligibility criteria- Btech(4th year) / Mtech(Pursuing)*. Solving questions of the students from across the globe. Have relevant skills and interests.…
Good Business Lab,India,9 - 10 ,"We design and evaluate programs that can find common ground between worker well-being in blue-collar settings and business interests, and then through our……"
Microsoft,Bengaluru,3 - 10 ,"As a Data Engineer in the team, you will be responsible for managing the data real estate, architecting, and developing the next-gen data platform as well as……"
OLX,Gurgaon,5 - 8 ,"Develop and implement data mining solutions to fit business problems. Identify, design and implement internal process improvements: automating manual processes,……"
Revolo Infotech,Mumbai,20 - 25 ,"Bachelor's degree or higher in a relevant field (e.g., Computer Science, Statistics, Mathematics, or related disciplines). Data science: 7 years (Required).…"
CoStrategix,Bengaluru,4 - 7 ,Ability to understand the business domain and determine business impact due to data issues. Experience -3-5 years of prior experience having worked on data……
Consilium Software,New Delhi,5 - 8 ,"Study and transform data science prototypes. Understanding of data structures, data modeling and software architecture.…"
UST,Thiruvananthapuram,3 - 4 ,Work with stakeholders throughout the organization to identify opportunities for leveraging data from our customers to create models that can generate business……
Retransform,Mumbai,1 ,Department: Technology Job Type: Full Time Preferred Job Location: Mumbai Number of Vacancies: 1 Total Experience: 4+ Years Skills Required Data Science……
United Airlines,Gurgaon,1 ,"Propose and develop innovative solution approaches based on scientific research or empirical studies. Uniting the world."" drives us to be the best airline for……"
Tech mahindra,Hyderābād,4 - 7 ,"""Experience in Data exploration using statistical models and techniques to identify patterns, trends, and correlations Experience in Data Collection and……"
PepsiCo,Hyderābād,9 - 10 ,This is going to be a technical role however needs to have good functional (CPG/Retail) inclinational for supporting better solution design and developing……
Teks Academy,Hyderābād,6 ,"As the Training Head for Data Science, you will be responsible for planning, developing, and delivering training programs to equip employees with the skills and……"
Microsoft,Hyderābād,2 - 9 ,"Leads broad governance and rhythm of the business processes that ensure cross-group collaboration, discussion of key issues, and an opportunity to build……"
Aml Rightsource Llc,Noida,4 - 6 ,"Using a blend of highly trained anti-financial crime professionals, cutting-edge technology tools, and industry-leading consultants, we help clients with their……"
AgileInfoways,Ahmedabad,2 - 3 ,Should have experience in data gathering through various data directories. Familiarity with web design and marketing trends.…
Pipluspi,India,1 - 3 ,The Data Engineer will work closely with the data science and analytics team to implement data solutions that support business objectives.…
Taiyo.Ai,Remote,5 - 7 ,Understand business drivers and derive insights through data. Monitor data sanity and ensure data availability and reliability.…
ThreatXintel,Remote,5 - 6 ,"The role involves designing, optimizing, and maintaining our vector databases, using Neo4j, to provide more efficient and accurate solutions to our clients.…"
Wipro Limited,Hyderābād,3 - 8 ,Deliver client projects and gain trust of client. Collaborate with different colleges and institutes for researchinitiatives and provide data science courses.…
Xplor,Pune,5 - 8 ,"Understanding of data governance practices, data lineage, and data quality management to ensure accurate, consistent, and reliable data.…"
Tiju's Academy Pvt. Ltd.,Māvelikara,40 ,"Develop and maintain databases by acquiring data from primary and secondary sources, and build scripts that will make our data evaluation process more flexible……"
Appson Technologies,Bengaluru,1 ,Client needs someone who has completed data pipeline / data engineering work within parts of the Modern Data Stack. Total work: 8 years (Preferred).…
Komodo Health,Chennai,3 - 9 ,Experience working in a research team collaborating with subject-matter experts on epidemiological research studies. Published manuscripts using claims data.…
INT9 Solutions,Remote,6 ,"As a key member of the team, you will collaborate closely with the Master Data Operations Manager in developing and maintaining customer master data business……"
PharmaACE,Pune,6 - 10 ,"As an Associate Consultant/Consultant, you are expected to the manage onshore / client communication and mentor a team of analysts.…"
DataEconomy,Hyderābād,5 - 7 ,Keep current with technical and industry developments. Collaborate with product design and engineering teams to develop an understanding of needs.…
METRO/MAKRO,Pune,5 - 7 ,"Collaborate with data scientists, analysts, and developers to ensure that our data pipeline meets their needs. Experience with big data technologies is plus.…"
PepsiCo,Hyderābād,2 ,"Delivering high-quality, coherent, and insightful solutions that address business needs by developing integrated data models and engineering end-to-end data……"
